"Bug编号","所属产品","所属模块","所属项目","相关需求","相关任务","Bug标题","关键词","问题等级","优先级","Bug属性","操作系统","系统组件","重现步骤","Bug状态","截止日期","激活次数","是否确认","抄送给","由谁创建","创建日期","影响版本","指派给","指派日期","解决者","解决方案","解决版本","解决日期","由谁关闭","关闭日期","重复ID","相关Bug","相关用例","最后修改者","修改日期","附件"
"3450","超强ST301I(70T 310P)/ST301 Pro(176T 310P)(#46)","/(#0)","磐鹿项目-310P计算模组产品(#78)","","","[磐鹿310P_EVT][板卡设计多一颗电阻，使用过程中概率出现烧板问题]","","致命","紧急","概率性问题","","","板卡设计多一颗电阻，使用过程中概率出现烧板情况

","激活","0000-00-00","0","否","","刘帅","2026-01-26 10:11:26","主干(#trunk)","梁友","2026-01-26 10:11:26","","","","0000-00-00 00:00:00","","0000-00-00 00:00:00","0","","","刘帅","2026-01-26 10:19:25","",""
"3433","超强ST301I(70T 310P)/ST301 Pro(176T 310P)(#46)","/(#0)","磐鹿项目-310P计算模组产品(#78)","","","[磐鹿310P_EVT][烧录的系统盘，分区容量2G，无法满足实用场景]","","致命","紧急","必现问题","","内存","[步骤]
系统盘默认只分到2G
<img src=““{14532.png}““ alt=““““ />
[结果]


[期望]
期望可以分大一点、方便使用","激活","0000-00-00","0","否","","王文超","2026-01-23 09:21:20","主干(#trunk)","吕鑫","2026-01-23 09:21:20","","","","0000-00-00 00:00:00","","0000-00-00 00:00:00","0","","","刘帅","2026-01-26 09:41:56","",""
"3431","超强ST301I(70T 310P)/ST301 Pro(176T 310P)(#46)","/(#0)","磐鹿项目-310P计算模组产品(#78)","","","[磐鹿310P_EVT][万兆网口性能、压力不达标，仅有50%]","","致命","较高","必现问题","","","【步骤】两台磐鹿310P光口对接、执行iperf3只能跑到5G左右、<img src=““{14523.png}““ alt=““““ />
【结果】FAIL：未能达到10G网口的90%
【期望】希望给出跑到5G属于正常状态或者提供修改参数来达标","激活","0000-00-00","0","否","","王文超","2026-01-20 16:06:07","主干(#trunk)","吕鑫","2026-01-21 16:41:11","","","","0000-00-00 00:00:00","","0000-00-00 00:00:00","0","","","刘帅","2026-01-26 10:04:56","",""
"3429","超强ST301I(70T 310P)/ST301 Pro(176T 310P)(#46)","/(#0)","磐鹿项目-310P计算模组产品(#78)","","","[磐鹿310P_EVT][开机关机指示灯无变化、上电就会亮]","","致命","较高","必现问题","","","【步骤】先上电、指示灯亮、再执行关机、开机
【结果】FAIL：指示灯无变化、不会根据开机关机变化<img src=““{14526.jpeg}““ alt=““““ /><img src=““{14527.jpeg}““ alt=““““ /><img src=““{14528.jpeg}““ alt=““““ />
【期望】说明指示灯是否会根据开关机状态变化或者提供解决方案","激活","0000-00-00","0","否","","王文超","2026-01-20 16:06:07","主干(#trunk)","梁友","2026-01-21 16:52:19","","","","0000-00-00 00:00:00","","0000-00-00 00:00:00","0","","","刘帅","2026-01-26 10:13:54","",""
"3428","超强ST301I(70T 310P)/ST301 Pro(176T 310P)(#46)","/(#0)","磐鹿项目-310P计算模组产品(#78)","","","[磐鹿310P_EVT][VGA画面显示测试无法显示]","","致命","较高","必现问题","","","【步骤】显示器连接板子VGA接口
【结果】FAIL：无法显示
【期望】可以实现VGA画面显示功能","激活","0000-00-00","0","否","","王文超","2026-01-20 16:06:07","主干(#trunk)","梁友","2026-01-21 16:48:32","","","","0000-00-00 00:00:00","","0000-00-00 00:00:00","0","","","刘帅","2026-01-26 10:13:12","",""
"3427","超强ST301I(70T 310P)/ST301 Pro(176T 310P)(#46)","/(#0)","磐鹿项目-310P计算模组产品(#78)","","","[磐鹿310P_EVT][RC模式-远程固件升级测试给出具体方案，无法升级]","","致命","较高","","","","项目对于该功能缺少说明，无法验证","激活","0000-00-00","0","否","","王文超","2026-01-20 16:06:07","主干(#trunk)","吕鑫","2026-01-26 10:12:26","","","","0000-00-00 00:00:00","","0000-00-00 00:00:00","0","","","刘帅","2026-01-26 10:12:26","",""
"3426","超强ST301I(70T 310P)/ST301 Pro(176T 310P)(#46)","/(#0)","磐鹿项目-310P计算模组产品(#78)","","","[磐鹿310P_EVT][产品无法安装Ubuntu系统]","","致命","较高","","","","EVT阶段产品无法安装Ubuntu系统","激活","0000-00-00","0","否","","王文超","2026-01-20 16:06:07","主干(#trunk)","吕鑫","2026-01-26 10:12:45","","","","0000-00-00 00:00:00","","0000-00-00 00:00:00","0","","","刘帅","2026-01-26 10:12:45","",""
"3425","超强ST301I(70T 310P)/ST301 Pro(176T 310P)(#46)","/(#0)","磐鹿项目-310P计算模组产品(#78)","","","[磐鹿310P_EVT][开关机键下电后无法开机]","","致命","较高","必现问题","","主板","[步骤]
给板子上电、等板子进入系统后手动关机、等系统关机后按下电源键
<img src=““{14525.png}““ alt=““““ />

[结果]
Fail：关机后再次按电源键无法开机、只支持关机不支持开机
 
[期望]
电源键可以正常执行开关机的功能","激活","0000-00-00","0","否","","王文超","2026-01-20 16:06:07","主干(#trunk)","梁友","2026-01-21 16:46:29","","","","0000-00-00 00:00:00","","0000-00-00 00:00:00","0","","","梁友","2026-01-23 09:54:44","",""
"3424","超强ST301I(70T 310P)/ST301 Pro(176T 310P)(#46)","/(#0)","磐鹿项目-310P计算模组产品(#78)","","","[磐鹿310P_EVT][SATA M.2存在安装风险，锁定螺丝过紧会导致系统识别异常]","","致命","紧急","必现问题","","存储","[步骤]
安装SSD、锁定螺丝稍微拧紧一点、lsblk下信息显示异常
<img src=““{14524.jpeg}““ alt=““““ />

[结果]
FAIL:lsblk-SSD无法被系统识别
 
[期望]
正常拧紧螺丝系统lsblk可以正常识别SSD","激活","0000-00-00","0","否","","王文超","2026-01-20 16:06:07","主干(#trunk)","梁友","2026-01-20 16:23:47","","","","0000-00-00 00:00:00","","0000-00-00 00:00:00","0","","","刘帅","2026-01-26 10:16:34","",""
"3421","超强ST301I(70T 310P)/ST301 Pro(176T 310P)(#46)","/(#0)","磐鹿项目-310P计算模组产品(#78)","","","[磐鹿310P_EVT][光口和电口不兼容]","","致命","紧急","必现问题","其他","主板","[步骤]
先单独接通电口确认电口可以通、再单独接通光口、确认光口可以通、最后同时接通光口和电口、

[结果]
Fail：光口接通会导致电口直接断电

[期望]
光口电口兼容、","激活","0000-00-00","0","否","","王文超","2026-01-20 14:21:02","主干(#trunk)","梁友","2026-01-20 14:21:02","","","","0000-00-00 00:00:00","","0000-00-00 00:00:00","0","","","吕鑫","2026-01-23 16:54:39","",""
"3430","超强ST301I(70T 310P)/ST301 Pro(176T 310P)(#46)","/(#0)","磐鹿项目-310P计算模组产品(#78)","","","[磐鹿310P_EVT][稳定性reboot无法实现脚本cycle]可以手动执行reboot","","一般","普通","必现问题","","","【步骤】执行reboot cycle脚本
【结果】FAIL：无法执行rc.local本地文件、无法执行cycle<img src=““{14531.png}““ alt=““““ /><img src=““{14530.png}““ alt=““““ /><img src=““{14529.png}““ alt=““““ />
【期望】希望可以给出不支持执行本地文件跑cycle的说明或者给予解决办法","已解决","0000-00-00","0","是","","王文超","2026-01-20 16:06:07","主干(#trunk)","王文超","2026-01-27 13:46:54","王文超","已解决","主干(#trunk)","2026-01-27 13:45:38","","0000-00-00 00:00:00","0","","","王文超","2026-01-27 13:46:54","reboot.zip
",""
"3432","超强ST301I(70T 310P)/ST301 Pro(176T 310P)(#46)","/(#0)","磐鹿项目-310P计算模组产品(#78)","","","[磐鹿310P_EVT][NPU压力需要安装asend工具包、无法安装]","","致命","较高","必现问题","","","【步骤】
1、先安装这四个包
<img src=““{14518.png}““ alt=““““ /><img src=““{14522.png}““ alt=““““ />
<img src=““{14519.png}““ alt=““““ />
【结果】FAIL：toolkit无法安装、并且指令无法执行
<img src=““{14521.png}““ alt=““““ />


ascend-dmi -f -d 0无法执行


<img src=““{14517.png}““ alt=““““ /> 
【期望】希望可以扩大系统盘容量、并且可以提供磐鹿310P对应的压力测试工具包

","已关闭","0000-00-00","0","是","","王文超","2026-01-20 16:06:07","主干(#trunk)","Closed","2026-01-26 09:45:14","刘帅","重复Bug","","2026-01-26 09:42:15","刘帅","2026-01-26 09:45:14","[磐鹿310P_EVT][烧录的系统盘，分区容量2G，无法满足实用场景](3433)","","","刘帅","2026-01-26 09:45:14","",""
"3423","超强ST301I(70T 310P)/ST301 Pro(176T 310P)(#46)","/(#0)","磐鹿项目-310P计算模组产品(#78)","","","[磐鹿310P_EVT][算力测试需要安装asend工具包、无法安装]","","致命","较高","必现问题","","其他","【步骤】
1、先安装这四个包
<img src=““{14518.png}““ alt=““““ /><img src=““{14522.png}““ alt=““““ />
<img src=““{14519.png}““ alt=““““ />
【结果】FAIL：toolkit无法安装、并且指令无法执行
<img src=““{14521.png}““ alt=““““ />


ascend-dmi -f -d 0无法执行


<img src=““{14517.png}““ alt=““““ /> 
【期望】希望可以扩大系统盘容量、并且可以提供磐鹿310P对应的压力测试工具包

","已关闭","0000-00-00","0","是","","王文超","2026-01-20 16:06:07","主干(#trunk)","Closed","2026-01-26 10:04:17","刘帅","重复Bug","","2026-01-26 10:03:39","刘帅","2026-01-26 10:04:17","[磐鹿310P_EVT][烧录的系统盘，分区容量2G，无法满足实用场景](3433)","","","刘帅","2026-01-26 10:04:17","",""
"3422","超强ST301I(70T 310P)/ST301 Pro(176T 310P)(#46)","/(#0)","磐鹿项目-310P计算模组产品(#78)","","","xxxx	必现问题/概率问题	软件/硬件/结构	建议/一般/严重/致命","","致命","","","","","","已关闭","0000-00-00","0","是","","王文超","2026-01-20 16:06:07","主干(#trunk)","Closed","2026-01-20 16:15:05","王文超","不予解决","","2026-01-20 16:14:59","王文超","2026-01-20 16:15:05","0","","","王文超","2026-01-20 16:15:05","",""
