Bug编号,Bug标题,问题等级,优先级,Bug属性,Bug状态,影响版本,指派给,解决者,解决方案,解决版本,解决日期
3495,[金丝雀-EVT][2switch][BMC-V11.02.01.18] bmc界面未能获得NIC光模块温度数据告警,严重,较高,必现问题,激活,2026-04-13 09:52:44,主干(#trunk),,,0000-00-00 00:00:00,
3488,[金丝雀-EVT][4Switch][BMC-V11.02.01.12] BMC web页面fru信息显示异常,严重,较高,必现问题,激活,2026-03-18 11:10:14,主干(#trunk),,,0000-00-00 00:00:00,
3470, [金丝雀-EVT][4Switch][BMC-V11.02.01.10][CPLD无法实现在线升级功能],严重,较高,必现问题,激活,2026-02-06 17:10:02,主干(#trunk),,,0000-00-00 00:00:00,
3469, [金丝雀-EVT][0Switch][BMC-V11.02.01.08][CPLD无法实现在线升级功能],严重,较高,必现问题,激活,2026-02-06 15:21:25,主干(#trunk),,,0000-00-00 00:00:00,
3462,[金丝雀-EVT][0switch][服务器dmesg网卡 HNS3 初始化失败],严重,较高,必现问题,激活,2026-02-05 15:47:04,主干(#trunk),,,0000-00-00 00:00:00,
3497,[金丝雀-EVT][2switch] OS下使用npu-smi info查询npu卡信息，功率显示为NA,严重,较高,必现问题,已解决,2026-04-16 17:44:31,主干(#trunk),已解决,openUBMC_11.02.01.14(#359),2026-04-16 19:32:38,
3487, [金丝雀-EVT][4Switch][SP670网卡重启掉网卡],严重,较高,必现问题,已解决,2026-03-18 10:33:53,主干(#trunk),已解决,4SW CPLD V02(#358),2026-03-18 14:46:11,
3484,[金丝雀-EVT][0Switch][0Switch][BMC-V11.02.01.12][BMC web页面识别不到M.2转接板在位信息],严重,较高,必现问题,已关闭,2026-03-17 11:58:49,openUBMC_11.02.01.12(#354),已解决,V11.02.01.16(#362),2026-04-10 08:50:21,刘帅
3477, [金丝雀-EVT][0Switch][4Switch][BMC-V11.02.01.08][4Switch][BMC-V11.02.01.10]sw板传感器功耗值过大,严重,较高,必现问题,已关闭,2026-02-13 12:01:11,主干(#trunk),已解决,openUBMC_11.02.01.12(#354),2026-03-02 10:05:28,刘帅
3474,[金丝雀-EVT][4Switch][BMC-V11.02.01.10] BMC web界面硬盘门限传感器温度缺失,严重,较高,必现问题,已关闭,2026-02-06 17:46:52,主干(#trunk),设计如此,,2026-02-11 09:47:05,刘帅
3473, [金丝雀-EVT][规格书文档不符合标准],严重,较高,必现问题,已关闭,2026-02-06 17:36:05,主干(#trunk),已解决,已经上传git(#352),2026-02-25 10:57:30,刘帅
3472,[金丝雀-EVT][4Switch][BMC-V11.02.01.10] BMC web界面硬盘背板门限传感器温度缺失,严重,较高,必现问题,已关闭,2026-02-06 17:29:42,主干(#trunk),不予解决,,2026-02-10 10:19:03,刘帅
3471, [金丝雀-EVT][4Switch][BMC-V11.02.01.10][右挂耳电源开关和UID按键功能异常],严重,较高,必现问题,已关闭,2026-02-06 17:20:47,主干(#trunk),已解决,扩展板CPLDV02(#353),2026-02-26 20:30:10,刘帅
3466,[金丝雀-EVT][4Switch][BMC-V11.02.01.10]BMC界面多项fru缺失,严重,较高,必现问题,已关闭,2026-02-05 17:46:38,主干(#trunk),已解决,openUBMC_11.02.01.12(#354),2026-03-03 15:01:09,刘帅
3465,[金丝雀-EVT][4Switch][BMC-V11.02.01.10]OS系统下，NPU温度缺失，与BMC门限传感器温度不一致,严重,较高,必现问题,已关闭,2026-02-05 17:34:18,主干(#trunk),已解决,openUBMC_11.02.01.12(#354),2026-03-03 15:18:18,刘帅
3464,[金丝雀-EVT][0Switch][BMC-V11.02.01.08] 机器下电或者reboot，有概率BMC出现风扇告警,严重,较高,必现问题,已关闭,2026-02-05 16:31:41,openUBMC_11.02.01.08.hpm(#349),已解决,已经上传git(#352),2026-03-02 09:55:01,王文超
3463,[金丝雀-EVT][4Switch][BMC-V11.02.01.10] 机器下电，BMC出现风扇告警,严重,较高,必现问题,已关闭,2026-02-05 15:49:35,主干(#trunk),重复Bug,,2026-03-02 10:19:16,刘帅
3460,[金丝雀-EVT][4Switch]switch板安装过程中，电容容易因为碰撞脱落,严重,较高,必现问题,已关闭,2026-02-04 16:29:24,主干(#trunk),已解决,主干(#trunk),2026-03-18 15:07:38,刘帅
3459,[金丝雀-EVT][4Switch][BMC-V11.02.01.10] BMC web端pcie设备识别NPU总线信息和设备总线信息缺失,严重,较高,必现问题,已关闭,2026-02-04 15:37:38,主干(#trunk),已解决,openUBMC_11.02.01.12(#354),2026-03-02 10:05:01,刘帅
3458,[金丝雀-EVT][0switch][BMC-V11.02.01.08][BMC web端pcie设备识别NPU总线信息和设备总线信息缺失],严重,较高,必现问题,已关闭,2026-02-04 14:06:24,主干(#trunk),已解决,openUBMC_11.02.01.12(#354),2026-03-02 09:46:10,王文超
3457,[金丝雀-EVT][4Switch][BMC-V11.02.01.06] BMC web页面识别PCIe卡数量缺失（NPU和网卡缺失）,严重,较高,必现问题,已关闭,2026-02-04 11:49:12,主干(#trunk),已解决,openUBMC_11.02.01.10.hpm(#350),2026-02-05 10:45:49,刘帅
3456,[金丝雀-EVT][0switch][BMC-V11.02.01.04][BMC web页面识别GPU在位信息缺失],严重,较高,必现问题,已关闭,2026-02-03 17:42:40,主干(#trunk),已解决,openUBMC_11.02.01.12(#354),2026-03-04 16:39:12,刘帅
3454,[金丝雀-EVT][4Switch][BMC-V11.02.01.06] BMC存储管理的物理盘识别不全，信息缺失，序号重复,严重,较高,必现问题,已关闭,2026-02-03 17:32:20,主干(#trunk),已解决,V11.02.01.16(#362),2026-04-09 15:22:04,刘帅
3452,[金丝雀-EVT][0Switch][BMC-V11.02.01.04]0Switch背板高速信息线与扩展板未连接时，BMC无线缆相关告警,严重,较高,必现问题,已关闭,2026-01-29 15:02:10,主干(#trunk),已解决,openUBMC_11.02.01.08.hpm(#349),2026-02-05 10:39:31,刘帅
3493,[金丝雀-EVT][2Switch][BMC-V11.02.01.14]BMC web端无法通过打开Disk定位状态点亮nvme定位灯,严重,紧急,必现问题,已关闭,2026-04-03 15:40:33,主干(#trunk),已解决,4nvme cpld v02(#361),2026-04-09 15:25:39,刘帅
3480, [金丝雀-EVT][NVME背板]批量读取i2c出现通信不稳定、升级整机scr包、检查日志看到nvme背板csr升级失败,严重,紧急,必现问题,已关闭,2026-03-06 14:07:15,主干(#trunk),已解决,BOM变更(#356),2026-03-06 00:00:00,刘帅
3468, [金丝雀-EVT][0Switch][右挂耳UID灯功能异常],严重,紧急,必现问题,已关闭,2026-02-06 10:29:44,主干(#trunk),已解决,扩展板CPLDV02(#353),2026-02-26 20:28:09,王文超
3455,[金丝雀-EVT][0switch][BMC-V11.02.01.04][BMC web页面读取硬盘数量不正确],严重,紧急,必现问题,已关闭,2026-02-03 17:35:51,主干(#trunk),已解决,openUBMC_11.02.01.12(#354),2026-03-03 14:38:26,刘帅
3486,[金丝雀-EVT][0Switch][BMC-V11.02.01.12][BMC web页面识别NVME信息不全],致命,较高,必现问题,已关闭,2026-03-17 18:00:57,openUBMC_11.02.01.12(#354),已解决,V11.02.01.16(#362),2026-04-10 08:45:48,刘帅
3492,[金丝雀-EVT][2switch][BMC-V11.02.01.14] BMC界面内存无法识别,致命,紧急,必现问题,激活,2026-04-01 13:39:34,主干(#trunk),,,0000-00-00 00:00:00,
3491,[金丝雀-EVT][2Switch][BMC-V11.02.01.14] BMC web页面有两条NVME背板的Cable相关异常告警、确定接线和拓扑图一致、需要BMC侧来定位解决,致命,紧急,必现问题,激活,2026-03-27 13:52:56,主干(#trunk),,,0000-00-00 00:00:00,
3490,[金丝雀-EVT][2switch] 机器无法升级BIOS和上电,致命,紧急,必现问题,已解决,2026-03-26 15:44:34,主干(#trunk),已解决,6.02.01.05(#363),2026-04-16 15:57:20,
3478, [金丝雀-EVT][0Switch]前置5风扇红色指示灯功能，硬件设计红色指示灯信号未接通,致命,紧急,必现问题,已解决,2026-02-13 12:08:17,主干(#trunk),已解决,DVT(#351),2026-02-25 10:37:26,
3494,[金丝雀-EVT][2switch][BMC-V11.02.01.14] pcie网卡和raid卡识别问题和槽位问题,致命,紧急,必现问题,已关闭,2026-04-03 16:15:13,主干(#trunk),外部原因,主干(#trunk),2026-04-14 14:55:02,刘帅
3485, [金丝雀-EVT][BMC-11.02.01.12]电源页面中的电源设置选项，设置好主备电源后，功能不生效,致命,紧急,必现问题,已关闭,2026-03-17 14:53:56,openUBMC_11.02.01.12(#354),已解决,openUBMC_11.02.01.14(#359),2026-03-23 10:14:14,刘帅
3483, [金丝雀-EVT][BMC-11.02.01.12]系统管理-系统信息-组件页面，PSUBoard被分配在了存储扩展组件下,致命,紧急,必现问题,已关闭,2026-03-17 10:33:34,openUBMC_11.02.01.12(#354),已解决,openUBMC_11.02.01.14(#359),2026-03-20 15:01:43,刘帅
3482,[金丝雀-EVT][BMC-11.02.01.12]系统管理-系统信息-组件页面，存储扩展组件显示【6/5】,致命,紧急,必现问题,已关闭,2026-03-17 10:06:12,openUBMC_11.02.01.12(#354),已解决,openUBMC_11.02.01.14(#359),2026-03-20 15:06:52,刘帅
3476,[金丝雀-EVT][4Switch][0Switch][BMC-V11.02.01.10] 硬盘热插拔过程中，硬盘复位后，系统不识别，硬盘状态显示UBad,致命,紧急,必现问题,已关闭,2026-02-11 14:04:17,主干(#trunk),已解决,主干(#trunk),2026-02-11 15:21:13,刘帅
3475, [金丝雀-EVT][0Switch][4Switch][BMC-V11.02.01.08][稳定性测试DC cycle不稳定],致命,紧急,必现问题,已关闭,2026-02-06 18:36:55,主干(#trunk),已解决,EXU CPLD V03(#360),2026-03-23 09:35:51,刘帅
3467,[金丝雀-EVT][0Switch][BMC-V11.02.01.08]BMC界面和系统下ipmitool fru list多项fru信息缺失，所有Fru都是空的,致命,紧急,必现问题,已关闭,2026-02-05 18:11:37,"主干(#trunk)
openUBMC_11.02.01.08.hpm(#349)",已解决,openUBMC_11.02.01.12(#354),2026-03-03 15:17:20,王文超
3453,[金丝雀-EVT][0switch][switch板J34和J35两个接口的线缆需要对调],致命,紧急,必现问题,已关闭,2026-01-29 15:09:54,主干(#trunk),已解决,openUBMC_11.02.01.08.hpm(#349),2026-02-05 10:23:44,王文超
3461,[金丝雀-EVT][0switch][4switch][服务器系统下检查dmesg][Hardware Error],一般,较高,必现问题,已关闭,2026-02-05 11:38:28,主干(#trunk),已解决,6.02.01.05(#363),2026-04-08 00:00:00,刘帅
3496,[金丝雀-EVT][2switch][BMC-V11.02.01.18] PCIe BAR 分配失败,一般,普通,必现问题,已关闭,2026-04-13 15:49:19,主干(#trunk),已解决,主干(#trunk),2026-04-13 15:52:57,刘帛庚
3481,[金丝雀-EVT][BMC-11.02.01.12]电源页面中的电源设置选项，打开后电源排序混乱,一般,普通,必现问题,已关闭,2026-03-16 15:00:34,openUBMC_11.02.01.12(#354),已解决,openUBMC_11.02.01.10.hpm(#350),2026-03-31 14:09:32,刘帅
3479,[金丝雀-EVT][BMC][BMC需要补充sensor说明文档],一般,普通,必现问题,已关闭,2026-02-26 15:02:27,主干(#trunk),外部原因,sensor说明文档v0.1(#355),2026-03-03 15:17:56,刘帅
